spikerate,info,index,genotype,months,.
11.22222222,12.5046424,116,Degenerative,3,
3.777777778,6.505272483,141,Degenerative,3,
31.77777778,19.37042663,150,Degenerative,3,
4.777777778,5.6065739,151,Degenerative,3,
20.22222222,33.42945594,171,Degenerative,3,
9.777777778,10.69448299,172,Degenerative,3,
15.22222222,23.58702454,200,Degenerative,3,
25.44444444,16.8835606,223,Degenerative,3,
21.55555556,15.24818708,234,Degenerative,3,
12.33333333,8.844409062,235,Degenerative,3,
13.55555556,14.55077442,243,Degenerative,3,
21.88888889,18.53302138,247,Degenerative,3,
17.55555556,15.91627669,252,Degenerative,3,
9.666666667,9.787254406,254,Degenerative,3,
55.11111111,28.06557851,279,Degenerative,3,
40.11111111,27.02393626,281,Degenerative,3,
8.555555556,9.427657366,282,Degenerative,3,
7.555555556,8.030772793,292,Degenerative,3,
11,6.346236252,312,Degenerative,3,
31,19.72658281,328,Degenerative,3,
46.66666667,30.12456823,342,Degenerative,3,
30.22222222,19.64304028,352,Degenerative,3,
12.11111111,21.92089521,410,Degenerative,3,
31.55555556,29.43668374,413,Degenerative,3,
23.44444444,13.82064946,419,Degenerative,3,
16.11111111,6.490316402,421,Degenerative,3,
6.222222222,6.200112533,437,Degenerative,3,
6.111111111,7.911997501,444,Degenerative,3,
7.666666667,15.67183986,445,Degenerative,3,
4.666666667,6.048188253,446,Degenerative,3,
6.111111111,12.48102076,448,Degenerative,3,
4.333333333,5.623773324,454,Degenerative,3,
18.55555556,14.69160072,455,Degenerative,3,
5,6.336601756,458,Degenerative,3,
27.44444444,16.51173488,465,Degenerative,3,
37,43.22178401,474,Degenerative,3,
4.444444444,9.069882592,484,Degenerative,3,
16.22222222,18.56376817,500,Degenerative,3,
5.222222222,8.194150101,513,Degenerative,3,
5.333333333,10.66009356,517,Degenerative,3,
6.777777778,7.262035928,535,Degenerative,3,
